zip_member,label,source_label,filename,dataset
datasets/lung_cancer/Bengin cases/Bengin case (1).jpg,Benign,Bengin cases,Bengin case (1).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (10).jpg,Benign,Bengin cases,Bengin case (10).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (100).jpg,Benign,Bengin cases,Bengin case (100).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (101).jpg,Benign,Bengin cases,Bengin case (101).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (102).jpg,Benign,Bengin cases,Bengin case (102).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (103).jpg,Benign,Bengin cases,Bengin case (103).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (104).jpg,Benign,Bengin cases,Bengin case (104).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (105).jpg,Benign,Bengin cases,Bengin case (105).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (106).jpg,Benign,Bengin cases,Bengin case (106).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (107).jpg,Benign,Bengin cases,Bengin case (107).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (108).jpg,Benign,Bengin cases,Bengin case (108).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (109).jpg,Benign,Bengin cases,Bengin case (109).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (11).jpg,Benign,Bengin cases,Bengin case (11).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (110).jpg,Benign,Bengin cases,Bengin case (110).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (111).jpg,Benign,Bengin cases,Bengin case (111).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (112).jpg,Benign,Bengin cases,Bengin case (112).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (113).jpg,Benign,Bengin cases,Bengin case (113).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (114).jpg,Benign,Bengin cases,Bengin case (114).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (115).jpg,Benign,Bengin cases,Bengin case (115).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (116).jpg,Benign,Bengin cases,Bengin case (116).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (117).jpg,Benign,Bengin cases,Bengin case (117).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (118).jpg,Benign,Bengin cases,Bengin case (118).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (119).jpg,Benign,Bengin cases,Bengin case (119).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (12).jpg,Benign,Bengin cases,Bengin case (12).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (120).jpg,Benign,Bengin cases,Bengin case (120).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (13).jpg,Benign,Bengin cases,Bengin case (13).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (14).jpg,Benign,Bengin cases,Bengin case (14).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (15).jpg,Benign,Bengin cases,Bengin case (15).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (16).jpg,Benign,Bengin cases,Bengin case (16).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (17).jpg,Benign,Bengin cases,Bengin case (17).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (18).jpg,Benign,Bengin cases,Bengin case (18).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (19).jpg,Benign,Bengin cases,Bengin case (19).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (2).jpg,Benign,Bengin cases,Bengin case (2).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (20).jpg,Benign,Bengin cases,Bengin case (20).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (21).jpg,Benign,Bengin cases,Bengin case (21).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (22).jpg,Benign,Bengin cases,Bengin case (22).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (23).jpg,Benign,Bengin cases,Bengin case (23).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (24).jpg,Benign,Bengin cases,Bengin case (24).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (25).jpg,Benign,Bengin cases,Bengin case (25).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (26).jpg,Benign,Bengin cases,Bengin case (26).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (27).jpg,Benign,Bengin cases,Bengin case (27).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (28).jpg,Benign,Bengin cases,Bengin case (28).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (29).jpg,Benign,Bengin cases,Bengin case (29).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (3).jpg,Benign,Bengin cases,Bengin case (3).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (30).jpg,Benign,Bengin cases,Bengin case (30).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (31).jpg,Benign,Bengin cases,Bengin case (31).jpg,LungCancerAI
datasets/lung_cancer/Bengin cases/Bengin case (32).jpg,Benign,Bengin cases,Bengin case (32).jpg,LungCancerAI
