zip_member,label,source_label,filename,dataset
datasets/lung_cancer/Bengin cases/Bengin case (1).jpg,Benign,Bengin cases,Bengin case (1).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (10).jpg,Benign,Bengin cases,Bengin case (10).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (100).jpg,Benign,Bengin cases,Bengin case (100).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (101).jpg,Benign,Bengin cases,Bengin case (101).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (102).jpg,Benign,Bengin cases,Bengin case (102).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (103).jpg,Benign,Bengin cases,Bengin case (103).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (104).jpg,Benign,Bengin cases,Bengin case (104).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (105).jpg,Benign,Bengin cases,Bengin case (105).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (106).jpg,Benign,Bengin cases,Bengin case (106).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (107).jpg,Benign,Bengin cases,Bengin case (107).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (108).jpg,Benign,Bengin cases,Bengin case (108).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (109).jpg,Benign,Bengin cases,Bengin case (109).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (11).jpg,Benign,Bengin cases,Bengin case (11).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (110).jpg,Benign,Bengin cases,Bengin case (110).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (111).jpg,Benign,Bengin cases,Bengin case (111).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (112).jpg,Benign,Bengin cases,Bengin case (112).jpg,LungCancerImagingSystem
