zip_member,label,source_label,filename,dataset
datasets/lung_cancer/Normal cases/Normal case (21).jpg,Normal,Normal cases,Normal case (21).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (398).jpg,Malignant,Malignant cases,Malignant case (398).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (116).jpg,Malignant,Malignant cases,Malignant case (116).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (351).jpg,Normal,Normal cases,Normal case (351).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (266).jpg,Malignant,Malignant cases,Malignant case (266).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (303).jpg,Malignant,Malignant cases,Malignant case (303).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (17).jpg,Malignant,Malignant cases,Malignant case (17).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (114).jpg,Benign,Bengin cases,Bengin case (114).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (61).jpg,Benign,Bengin cases,Bengin case (61).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (233).jpg,Malignant,Malignant cases,Malignant case (233).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (32).jpg,Normal,Normal cases,Normal case (32).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (60).jpg,Malignant,Malignant cases,Malignant case (60).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (115).jpg,Benign,Bengin cases,Bengin case (115).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (254).jpg,Normal,Normal cases,Normal case (254).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (59).jpg,Benign,Bengin cases,Bengin case (59).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (153).jpg,Malignant,Malignant cases,Malignant case (153).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (166).jpg,Normal,Normal cases,Normal case (166).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (152).jpg,Normal,Normal cases,Normal case (152).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (99).jpg,Malignant,Malignant cases,Malignant case (99).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (116).jpg,Normal,Normal cases,Normal case (116).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (445).jpg,Malignant,Malignant cases,Malignant case (445).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (225).jpg,Normal,Normal cases,Normal case (225).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (310).jpg,Malignant,Malignant cases,Malignant case (310).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (343).jpg,Normal,Normal cases,Normal case (343).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (95).jpg,Malignant,Malignant cases,Malignant case (95).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (228).jpg,Normal,Normal cases,Normal case (228).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (23).jpg,Normal,Normal cases,Normal case (23).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (296).jpg,Normal,Normal cases,Normal case (296).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (37).jpg,Benign,Bengin cases,Bengin case (37).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (406).jpg,Normal,Normal cases,Normal case (406).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (232).jpg,Normal,Normal cases,Normal case (232).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (202).jpg,Normal,Normal cases,Normal case (202).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (4).jpg,Benign,Bengin cases,Bengin case (4).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (65).jpg,Benign,Bengin cases,Bengin case (65).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (77).jpg,Benign,Bengin cases,Bengin case (77).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (413).jpg,Malignant,Malignant cases,Malignant case (413).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (69).jpg,Benign,Bengin cases,Bengin case (69).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (104).jpg,Benign,Bengin cases,Bengin case (104).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (102).jpg,Benign,Bengin cases,Bengin case (102).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (93).jpg,Benign,Bengin cases,Bengin case (93).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (303).jpg,Normal,Normal cases,Normal case (303).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (184).jpg,Malignant,Malignant cases,Malignant case (184).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (167).jpg,Malignant,Malignant cases,Malignant case (167).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (355).jpg,Malignant,Malignant cases,Malignant case (355).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (156).jpg,Malignant,Malignant cases,Malignant case (156).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (201).jpg,Malignant,Malignant cases,Malignant case (201).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (322).jpg,Malignant,Malignant cases,Malignant case (322).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (120).jpg,Benign,Bengin cases,Bengin case (120).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (255).jpg,Malignant,Malignant cases,Malignant case (255).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (521).jpg,Malignant,Malignant cases,Malignant case (521).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (16).jpg,Normal,Normal cases,Normal case (16).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (399).jpg,Malignant,Malignant cases,Malignant case (399).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (3).jpg,Malignant,Malignant cases,Malignant case (3).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (46).jpg,Benign,Bengin cases,Bengin case (46).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (183).jpg,Malignant,Malignant cases,Malignant case (183).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (149).jpg,Malignant,Malignant cases,Malignant case (149).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (241).jpg,Malignant,Malignant cases,Malignant case (241).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (368).jpg,Normal,Normal cases,Normal case (368).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (8).jpg,Benign,Bengin cases,Bengin case (8).jpg,LungCancerImagingSystem
datasets/lung_cancer/Malignant cases/Malignant case (370).jpg,Malignant,Malignant cases,Malignant case (370).jpg,LungCancerImagingSystem
datasets/lung_cancer/Normal cases/Normal case (169).jpg,Normal,Normal cases,Normal case (169).jpg,LungCancerImagingSystem
datasets/lung_cancer/Bengin cases/Bengin case (58).jpg,Benign,Bengin cases,Bengin case (58).jpg,LungCancerImagingSystem
